TransactionID,CustomerID,Coustmer Name,ProductID,TransactionDate,Quantity,TotalValue,Price,Region,ProductName,Category
T00001,C0199,Andrea Jenkins,P067,25-08-2024,1,300.68,300.68,Europe,ComfortLiving Bluetooth Speaker,Electronics
T00112,C0146,Brittany Harvey,P067,27-05-2024,1,300.68,300.68,Asia,ComfortLiving Bluetooth Speaker,Electronics
T00166,C0127,Kathryn Stevens,P067,25-04-2024,1,300.68,300.68,Europe,ComfortLiving Bluetooth Speaker,Electronics
T00272,C0087,Travis Campbell,P067,26-03-2024,2,601.36,300.68,South America,ComfortLiving Bluetooth Speaker,Electronics
T00363,C0070,Timothy Perez,P067,21-03-2024,3,902.04,300.68,Europe,ComfortLiving Bluetooth Speaker,Electronics
T00442,C0188,Anna Ball,P067,26-12-2024,1,300.68,300.68,South America,ComfortLiving Bluetooth Speaker,Electronics
T00490,C0195,Jeremy Mclaughlin,P067,24-11-2024,3,902.04,300.68,South America,ComfortLiving Bluetooth Speaker,Electronics
T00536,C0008,David Li,P067,22-09-2024,1,300.68,300.68,North America,ComfortLiving Bluetooth Speaker,Electronics
T00564,C0157,Miguel Wong,P067,07-12-2024,3,902.04,300.68,North America,ComfortLiving Bluetooth Speaker,Electronics
T00631,C0130,Robert Jones,P067,14-05-2024,2,601.36,300.68,South America,ComfortLiving Bluetooth Speaker,Electronics
T00727,C0051,Nicholas Ellis,P067,20-01-2024,3,902.04,300.68,Europe,ComfortLiving Bluetooth Speaker,Electronics
T00729,C0075,Misty Higgins,P067,07-10-2024,2,601.36,300.68,Europe,ComfortLiving Bluetooth Speaker,Electronics
T00797,C0155,Michelle Brown,P067,04-10-2024,2,601.36,300.68,South America,ComfortLiving Bluetooth Speaker,Electronics
T00002,C0092,Jacqueline Zamora,P034,16-12-2024,2,434.10,217.05,Asia,HomeSense T-Shirt,Clothing
T00063,C0088,Carlos Murray,P034,19-06-2024,2,434.10,217.05,Asia,HomeSense T-Shirt,Clothing
T00093,C0109,Abigail Jones,P034,11-08-2024,4,868.20,217.05,North America,HomeSense T-Shirt,Clothing
T00127,C0041,Lindsey Deleon,P034,03-06-2024,4,868.20,217.05,Europe,HomeSense T-Shirt,Clothing
T00270,C0101,Kelsey Roberts,P034,07-11-2024,3,651.15,217.05,Asia,HomeSense T-Shirt,Clothing
T00358,C0154,Robert Sharp,P034,08-04-2024,1,217.05,217.05,North America,HomeSense T-Shirt,Clothing
T00518,C0200,Kelly Cross,P034,11-12-2024,4,868.20,217.05,Asia,HomeSense T-Shirt,Clothing
T00546,C0049,Jason Yates,P034,30-08-2024,1,217.05,217.05,North America,HomeSense T-Shirt,Clothing
